Group ID,Date,Number of Participants,Ship,Location
1,10/4/2022,10,CVN 70,Naval Air Station North Island. Onboard CVN 70.
2,10/4/2022,5,CVN 70,Naval Air Station North Island. Onboard CVN 70.
3,10/5/2022,2,CVN 72,Naval Air Station North Island. Onboard CVN 72.
4,10/5/2022,5,CVN 72,Naval Air Station North Island. Onboard CVN 72.
5,10/5/2022,2,CVN 72,Naval Air Station North Island. Onboard CVN 72.
6,11/7/2022,10,SSN 762,Newport News Shipbuilding. Barge.
7,11/7/2022,7,SSN 762,Newport News Shipbuilding. Barge.
8,11/7/2022,9,SSN 798,Newport News Shipbuilding. PCU auditorium on shore.
9,11/7/2022,8,SSN 798,Newport News Shipbuilding. PCU auditorium on shore.
10,11/8/2022,10,CVN 79,Newport News Shipbuilding. Onboard CVN 79.
11,11/8/2022,6,CVN 74,Newport News Shipbuilding. Floating Accomodations Facility.
